Gene	Ensembl	regulator	Gene.synonym	Gene.description
TSFM	ENSG00000123297	0	EF-TS, EF-Tsmt	Ts translation elongation factor, mitochondrial
NEUROD4	ENSG00000123307	1	ATH-3, Atoh3, bHLHa4, MATH-3	Neuronal differentiation 4
ARHGAP9	ENSG00000123329	0	10C, MGC1295	Rho GTPase activating protein 9
NCKAP1L	ENSG00000123338	0	HEM1	NCK associated protein 1 like
MMP19	ENSG00000123342	0	MMP18, RASI-1	Matrix metallopeptidase 19
PFDN5	ENSG00000123349	0	MM-1, PFD5	Prefoldin subunit 5
SPATS2	ENSG00000123352	0	FLJ13117, SCR59, SPATA10	Spermatogenesis associated serine rich 2
ORMDL2	ENSG00000123353	0	adoplin-2, HSPC160, MST095, MSTP095	ORMDL sphingolipid biosynthesis regulator 2
NR4A1	ENSG00000123358	1	GFRP1, HMR, N10, NAK-1, NGFIB, NUR77, TR3	Nuclear receptor subfamily 4 group A member 1
PDE1B	ENSG00000123360	0	PDES1B	Phosphodiesterase 1B
HOXC13	ENSG00000123364	1	HOX3, HOX3G	Homeobox C13
CDK2	ENSG00000123374	0		Cyclin dependent kinase 2
LRP1	ENSG00000123384	0	A2MR, APOER, APR, CD91, IGFBP-3R, IGFBP3R1, LRP, LRP1A	LDL receptor related protein 1
HOXC11	ENSG00000123388	1	HOX3H	Homeobox C11
ATG101	ENSG00000123395	0	C12orf44, FLJ11773	Autophagy related 101
NFE2	ENSG00000123405	1	NF-E2	Nuclear factor, erythroid 2
HOXC12	ENSG00000123407	1	HOC3F, HOX3, HOX3F	Homeobox C12
IKZF4	ENSG00000123411	1	Eos, ZNFN1A4	IKAROS family zinc finger 4
SMUG1	ENSG00000123415	0	FDG, HMUDG, UNG3	Single-strand-selective monofunctional uracil-DNA glycosylase 1
TUBA1B	ENSG00000123416	0	K-ALPHA-1	Tubulin alpha 1b
EEF1AKMT3	ENSG00000123427	0	DKFZP586D0919, FAM119B, METTL21B	EEF1A lysine methyltransferase 3
KBTBD4	ENSG00000123444	0	BKLHD4, FLJ10450, HSPC252	Kelch repeat and BTB domain containing 4
SARDH	ENSG00000123453	0	DMGDHL1, SDH	Sarcosine dehydrogenase
DBH	ENSG00000123454	0	DBM	Dopamine beta-hydroxylase
ATPAF1	ENSG00000123472	0	ATP11, Atp11p, FLJ22351	ATP synthase mitochondrial F1 complex assembly factor 1
STIL	ENSG00000123473	0	MCPH7, SIL	STIL centriolar assembly protein
HJURP	ENSG00000123485	0	DKFZp762E1312, FAKTS, hFLEG1, URLC9	Holliday junction recognition protein
IL13RA2	ENSG00000123496	0	CD213a2, CT19, IL-13R, IL13BP	Interleukin 13 receptor subunit alpha 2
COL10A1	ENSG00000123500	0		Collagen type X alpha 1 chain
AMD1	ENSG00000123505	0	SAMDC	Adenosylmethionine decarboxylase 1
NDUFAF4	ENSG00000123545	0	bA22L21.1, C6orf66, HRPAP20, HSPC125, My013	NADH:ubiquinone oxidoreductase complex assembly factor 4
USP45	ENSG00000123552	0	MGC14793	Ubiquitin specific peptidase 45
PLP1	ENSG00000123560	0	GPM6C, PLP, SPG2	Proteolipid protein 1
SERPINA7	ENSG00000123561	0	TBG	Serpin family A member 7
MORF4L2	ENSG00000123562	0	KIAA0026, MRGX	Mortality factor 4 like 2
H2BW1	ENSG00000123569	0	H2BFWT	H2B.W histone 1
RAB9B	ENSG00000123570	0	RAB9L	RAB9B, member RAS oncogene family
NRK	ENSG00000123572	0	DKFZp686A17109	Nik related kinase
FAM199X	ENSG00000123575	0	CXorf39	Family with sequence similarity 199, X-linked
ESX1	ENSG00000123576	1	ESX1L, ESXR1	ESX homeobox 1
MAGEA9	ENSG00000123584	0	CT1.9, MAGE9, MGC8421	MAGE family member A9
ATXN3L	ENSG00000123594	0	MJDL	Ataxin 3 like
RAB9A	ENSG00000123595	0	RAB9	RAB9A, member RAS oncogene family
METTL8	ENSG00000123600	0	FLJ13984, TIP	Methyltransferase like 8
TTC21B	ENSG00000123607	0	FAP60, FLA17, FLJ11457, IFT139B, JBTS11, NPHP12, THM1	Tetratricopeptide repeat domain 21B
NMI	ENSG00000123609	0		N-myc and STAT interactor
TNFAIP6	ENSG00000123610	0	TSG-6, TSG6	TNF alpha induced protein 6
ACVR1C	ENSG00000123612	0	ACVRLK7, ALK7	Activin A receptor type 1C
BAZ2B	ENSG00000123636	0	WALp4	Bromodomain adjacent to zinc finger domain 2B
SLC36A1	ENSG00000123643	0	LYAAT-1, PAT1, TRAMD3	Solute carrier family 36 member 1
LPGAT1	ENSG00000123684	0	FAM34A, FAM34A1, KIAA0205, NET8	Lysophosphatidylglycerol acyltransferase 1
BATF3	ENSG00000123685	1	JDP1, JUNDM1, SNFT	Basic leucine zipper ATF-like transcription factor 3
G0S2	ENSG00000123689	0		G0/G1 switch 2
KCNJ2	ENSG00000123700	0	IRK1, Kir2.1, LQT7	Potassium inwardly rectifying channel subfamily J member 2
RAP2C	ENSG00000123728	0	DKFZp313B211	RAP2C, member of RAS oncogene family
EXOSC9	ENSG00000123737	0	p5, p6, PM/Scl-75, PMSCL1, RRP45, Rrp45p	Exosome component 9
PLA2G12A	ENSG00000123739	0	PLA2G12	Phospholipase A2 group XIIA
B9D2	ENSG00000123810	0	MGC4093, MKS10, MKSR-2	B9 domain containing 2
COQ8B	ENSG00000123815	0	ADCK4, COQ8, FLJ12229	Coenzyme Q8B
PFKFB2	ENSG00000123836	0		6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2
C4BPA	ENSG00000123838	0	C4BP	Complement component 4 binding protein alpha
C4BPB	ENSG00000123843	0	C4BP	Complement component 4 binding protein beta
RAB38	ENSG00000123892	0	NY-MEL-1	RAB38, member RAS oncogene family
GPR83	ENSG00000123901	0	GPR72	G protein-coupled receptor 83
AGO2	ENSG00000123908	0	CASC7, EIF2C2, hAGO2, LINC00980, Q10	Argonaute RISC catalytic component 2
MXD4	ENSG00000123933	1	bHLHc12, MAD4, MST149, MSTP149	MAX dimerization protein 4
CKS2	ENSG00000123975	0		CDC28 protein kinase regulatory subunit 2
DAW1	ENSG00000123977	0	FLJ25955, ODA16, WDR69	Dynein assembly factor with WD repeats 1
ACSL3	ENSG00000123983	0	ACS3, FACL3, PRO2194	Acyl-CoA synthetase long chain family member 3
CHPF	ENSG00000123989	0	CHSY2, CSS2	Chondroitin polymerizing factor
DNPEP	ENSG00000123992	0	ASPEP, DAP	Aspartyl aminopeptidase
INHA	ENSG00000123999	0		Inhibin subunit alpha
MOGAT1	ENSG00000124003	0	DGAT2L, DGAT2L1, MGAT1	Monoacylglycerol O-acyltransferase 1
OBSL1	ENSG00000124006	0	KIAA0657	Obscurin like cytoskeletal adaptor 1
FAM124B	ENSG00000124019	0	FLJ22746	Family with sequence similarity 124 member B
SLC12A4	ENSG00000124067	0	KCC1	Solute carrier family 12 member 4
ENKD1	ENSG00000124074	0	C16orf48, DKFZP434A1319, FBB11	Enkurin domain containing 1
MC3R	ENSG00000124089	0	MC3	Melanocortin 3 receptor
GCNT7	ENSG00000124091	0	C20orf105, dJ1153D9.2	Glucosaminyl (N-acetyl) transferase family member 7
CTCFL	ENSG00000124092	1	BORIS, CT27, dJ579F20.2	CCCTC-binding factor like
FAM210B	ENSG00000124098	0	C20orf108, dJ1167H4.1, DKFZP434A1114	Family with sequence similarity 210 member B
PI3	ENSG00000124102	0	cementoin, ELAFIN, ESI, SKALP, WAP3, WFDC14	Peptidase inhibitor 3
FAM209A	ENSG00000124103	0	C20orf106, dJ1153D9.3	Family with sequence similarity 209 member A
SNX21	ENSG00000124104	0	C20orf161, dJ337O18.4, SNX-L	Sorting nexin family member 21
SLPI	ENSG00000124107	0	ALK1, ALP, BLPI, HUSI, HUSI-I, WAP4, WFDC4	Secretory leukocyte peptidase inhibitor
WFDC3	ENSG00000124116	0	dJ447F3.3, WAP14	WAP four-disulfide core domain 3
TTPAL	ENSG00000124120	0	C20orf121, dJ179M20.3	Alpha tocopherol transfer protein like
PREX1	ENSG00000124126	0	KIAA1415, P-REX1	Phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1
KCNS1	ENSG00000124134	0	Kv9.1	Potassium voltage-gated channel modifier subfamily S member 1
SLC12A5	ENSG00000124140	0	KCC2, KIAA1176	Solute carrier family 12 member 5
ARHGAP40	ENSG00000124143	0	C20orf95, dJ1100H13.4	Rho GTPase activating protein 40
SDC4	ENSG00000124145	0	amphiglycan, ryudocan, SYND4	Syndecan 4
NCOA3	ENSG00000124151	1	ACTR, AIB1, bHLHe42, CAGH16, KAT13B, p/CIP, RAC3, SRC-3, SRC3, TNRC16, TRAM-1	Nuclear receptor coactivator 3
PIGT	ENSG00000124155	0		Phosphatidylinositol glycan anchor biosynthesis class T
SEMG2	ENSG00000124157	0	SGII	Semenogelin 2
MATN4	ENSG00000124159	0		Matrilin 4
NCOA5	ENSG00000124160	0	bA465L10.6, CIA	Nuclear receptor coactivator 5
VAPB	ENSG00000124164	0	ALS8, VAP-B, VAP-C	VAMP associated protein B and C
PARD6B	ENSG00000124171	0	PAR-6B	Par-6 family cell polarity regulator beta
ATP5F1E	ENSG00000124172	0	ATP5E	ATP synthase F1 subunit epsilon
CHD6	ENSG00000124177	0	CHD5, dJ620E11.1, FLJ22369, KIAA1335, RIGB	Chromodomain helicase DNA binding protein 6
PLCG1	ENSG00000124181	0	NCKAP3, PLC-II, PLC1, PLC148, PLCgamma1	Phospholipase C gamma 1
TOX2	ENSG00000124191	1	C20orf100, dJ1108D11.2, GCX-1	TOX high mobility group box family member 2
SRSF6	ENSG00000124193	0	B52, SFRS6, SRP55	Serine and arginine rich splicing factor 6
GDAP1L1	ENSG00000124194	0		Ganglioside induced differentiation associated protein 1 like 1
GTSF1L	ENSG00000124196	0	C20orf65, dJ1028D15.4, FAM112A	Gametocyte specific factor 1 like
ARFGEF2	ENSG00000124198	0	BIG2	ADP ribosylation factor guanine nucleotide exchange factor 2
ZNFX1	ENSG00000124201	1	FLJ11277, KIAA1404	Zinc finger NFX1-type containing 1
ZNF831	ENSG00000124203	0	C20orf174, dJ492J12.1	Zinc finger protein 831
EDN3	ENSG00000124205	0	ET3	Endothelin 3
CSE1L	ENSG00000124207	0	CAS, CSE1, XPO2	Chromosome segregation 1 like
PEDS1-UBE2V1	ENSG00000124208	0	CROC-1B, Kua-UEV, TMEM189-UBE2V1	PEDS1-UBE2V1 readthrough
RAB22A	ENSG00000124209	0		RAB22A, member RAS oncogene family
PTGIS	ENSG00000124212	0	CYP8A1, PGIS	Prostaglandin I2 synthase
STAU1	ENSG00000124214	0	PPP1R150, STAU	Staufen double-stranded RNA binding protein 1
CDH26	ENSG00000124215	0	VR20	Cadherin 26
SNAI1	ENSG00000124216	1	SLUGH2, SNA, SNAH, SNAIL, SNAIL1	Snail family transcriptional repressor 1
MOCS3	ENSG00000124217	0	dJ914P20.3, UBA4	Molybdenum cofactor synthesis 3
STX16	ENSG00000124222	0	hsyn16, SYN16	Syntaxin 16
PMEPA1	ENSG00000124225	0	STAG1, TMEPAI	Prostate transmembrane protein, androgen induced 1
RNF114	ENSG00000124226	0	PSORS12, ZNF313	Ring finger protein 114
ANKRD60	ENSG00000124227	0	bA196N14.3, C20orf86	Ankyrin repeat domain 60
DDX27	ENSG00000124228	0	dJ686N3.1, DRS1	DEAD-box helicase 27
RBPJL	ENSG00000124232	1	RBP-L, RBPSUHL, SUH, SUHL	Recombination signal binding protein for immunoglobulin kappa J region like
SEMG1	ENSG00000124233	0	CT103, SEMG	Semenogelin 1
C20orf85	ENSG00000124237	0	bA196N14.1, LLC1	Chromosome 20 open reading frame 85
BCAS4	ENSG00000124243	0	CNOL, FLJ20495	Breast carcinoma amplified sequence 4
KCNK15	ENSG00000124249	0	dJ781B1.1, K2p15.1, KCNK11, KCNK14, KIAA0237, KT3.3, TASK-5, TASK5	Potassium two pore domain channel subfamily K member 15
TP53TG5	ENSG00000124251	0	C20orf10, CLG01, dJ453C12.5	TP53 target 5
PCK1	ENSG00000124253	0	PEPCK-C	Phosphoenolpyruvate carboxykinase 1
ZBP1	ENSG00000124256	0	C20orf183, DAI, dJ718J7.3, DLM-1, DLM1	Z-DNA binding protein 1
NEURL2	ENSG00000124257	0	C20orf163, dJ337O18.6, FLJ30259, Ozz, Ozz-E3	Neuralized E3 ubiquitin protein ligase 2
MAGEA10	ENSG00000124260	0	CT1.10, MAGE10, MGC10599	MAGE family member A10
MTRR	ENSG00000124275	0	cblE	5-methyltetrahydrofolate-homocysteine methyltransferase reductase
FASTKD3	ENSG00000124279	0	FLJ23274, MGC5297	FAST kinase domains 3
PEPD	ENSG00000124299	0		Peptidase D
CHST8	ENSG00000124302	0	GALNAC-4-ST1	Carbohydrate sulfotransferase 8
IQSEC2	ENSG00000124313	0	BRAG1, IQ-ArfGEF, KIAA0522, MRX1, MRX18, MRX78	IQ motif and Sec7 domain ArfGEF 2
VAMP7	ENSG00000124333	0	SYBL1, TI-VAMP, VAMP-7	Vesicle associated membrane protein 7
IL9R	ENSG00000124334	0	CD129	Interleukin 9 receptor
XG	ENSG00000124343	0	PBDX	Xg glycoprotein (Xg blood group)
STAMBP	ENSG00000124356	0	AMSH	STAM binding protein
NAGK	ENSG00000124357	0	GNK	N-acetylglucosamine kinase
MCEE	ENSG00000124370	0	GLOD2, MCE	Methylmalonyl-CoA epimerase
PAIP2B	ENSG00000124374	0	KIAA1155	Poly(A) binding protein interacting protein 2B
SNRNP27	ENSG00000124380	0	RY1, U4/U6.U5-27K	Small nuclear ribonucleoprotein U4/U6.U5 subunit 27
MPHOSPH10	ENSG00000124383	0	CT90, MPP10, MPP10P, PPP1R106	M-phase phosphoprotein 10
IL17C	ENSG00000124391	0	CX2, IL-17C, IL-21, MGC126884, MGC138401	Interleukin 17C
ATP8A1	ENSG00000124406	0	ATPIA	ATPase phospholipid transporting 8A1
USP22	ENSG00000124422	0	KIAA1063, USP3L	Ubiquitin specific peptidase 22
POF1B	ENSG00000124429	0	FLJ22792, POF	POF1B actin binding protein
HIF3A	ENSG00000124440	1	bHLHe17, IPAS, MOP7, PASD7	Hypoxia inducible factor 3 subunit alpha
ZNF576	ENSG00000124444	1	MGC2508	Zinc finger protein 576
IRGC	ENSG00000124449	0	CINEMA, Iigp5, IRGC1	Immunity related GTPase cinema
ZNF45	ENSG00000124459	1	ZNF13	Zinc finger protein 45
LYPD3	ENSG00000124466	0	C4.4A	LY6/PLAUR domain containing 3
PSG8	ENSG00000124467	0		Pregnancy specific beta-1-glycoprotein 8
CEACAM8	ENSG00000124469	0	CD66b, CGM6	CEA cell adhesion molecule 8
NDP	ENSG00000124479	0	EVR2, norrin	Norrin cystine knot growth factor NDP
USP9X	ENSG00000124486	0	DFFRX, FAF, MRX99	Ubiquitin specific peptidase 9 X-linked
CRISP2	ENSG00000124490	0	CRISP-2, CT36, GAPDL5, TPX1	Cysteine rich secretory protein 2
F13A1	ENSG00000124491	0	F13A	Coagulation factor XIII A chain
GRM4	ENSG00000124493	0	GPRC1D, mGlu4, MGLUR4	Glutamate metabotropic receptor 4
TRERF1	ENSG00000124496	1	BCAR2, dJ139D8.5, HSA277276, RAPA, TReP-132	Transcriptional regulating factor 1
PACSIN1	ENSG00000124507	0	SDPI	Protein kinase C and casein kinase substrate in neurons 1
BTN2A2	ENSG00000124508	0	BT2.2, BTF2, BTN2.2	Butyrophilin subfamily 2 member A2
SIRT5	ENSG00000124523	0		Sirtuin 5
MRS2	ENSG00000124532	0	MRS2L	Magnesium transporter MRS2
WRNIP1	ENSG00000124535	0	bA420G6.2, CFAP93, FAP93, FLJ22526, WHIP	WRN helicase interacting protein 1
RRP36	ENSG00000124541	0	C6orf153, dJ20C7.4	Ribosomal RNA processing 36
BTN1A1	ENSG00000124557	0	BT, BTN, BTN1	Butyrophilin subfamily 1 member A1
SNRPC	ENSG00000124562	0	U1-C, Yhc1	Small nuclear ribonucleoprotein polypeptide C
SLC17A3	ENSG00000124564	0	NPT4	Solute carrier family 17 member 3
SLC17A1	ENSG00000124568	0	NAPI-1, NPT1	Solute carrier family 17 member 1
SERPINB6	ENSG00000124570	0	CAP, DFNB91, PI6, PTI	Serpin family B member 6
XPO5	ENSG00000124571	0	KIAA1291	Exportin 5
ABCC10	ENSG00000124574	0	EST182763, MRP7, SIMRP7	ATP binding cassette subfamily C member 10
H1-3	ENSG00000124575	0	H1.3, H1d, H1F3, H1s-2, HIST1H1D	H1.3 linker histone, cluster member
PEX6	ENSG00000124587	0	PAF-2, PXAAA1	Peroxisomal biogenesis factor 6
NQO2	ENSG00000124588	0	DHQV, DIA6, NMOR2, QR2	N-ribosyldihydronicotinamide:quinone reductase 2
OARD1	ENSG00000124596	0	C6orf130, dJ34B21.3, MGC19570, TARG1	O-acyl-ADP-ribose deacylase 1
UNC5CL	ENSG00000124602	0	MGC34763, ZUD	Unc-5 family C-terminal like
AARS2	ENSG00000124608	0	AARSL, bA444E17.1, KIAA1270	Alanyl-tRNA synthetase 2, mitochondrial
H1-1	ENSG00000124610	0	H1.1, H1a, H1F1, HIST1H1A	H1.1 linker histone, cluster member
ZNF391	ENSG00000124613	1	dJ153G14.3	Zinc finger protein 391
RPS10	ENSG00000124614	0	MGC88819, S10	Ribosomal protein S10
MOCS1	ENSG00000124615	0	MOCOD	Molybdenum cofactor synthesis 1
H2BC11	ENSG00000124635	0	H2B/r, H2BFR, HIST1H2BJ	H2B clustered histone 11
MED20	ENSG00000124641	0	DKFZp586D2223, PRO0213, SRB2, TRFP	Mediator complex subunit 20
OR2B6	ENSG00000124657	0	dJ408B20.2, OR2B1, OR2B1P, OR2B5, OR2B6P, OR5-40, OR5-41, OR6-31	Olfactory receptor family 2 subfamily B member 6
TBCC	ENSG00000124659	0	CFC	Tubulin folding cofactor C
SPDEF	ENSG00000124664	1	bA375E1.3, PDEF	SAM pointed domain containing ETS transcription factor
TCP11	ENSG00000124678	0	D6S230E, FPPR, KIAA0229	T-complex 11
MAD2L1BP	ENSG00000124688	0	CMT2, dJ261G23.1, KIAA0110	MAD2L1 binding protein
APOBEC2	ENSG00000124701	0	ARCD1, ARP1	Apolipoprotein B mRNA editing enzyme catalytic subunit 2
KLHDC3	ENSG00000124702	0	dJ20C7.3, hPeas, PEAS	Kelch domain containing 3
GNMT	ENSG00000124713	0		Glycine N-methyltransferase
DNAH8	ENSG00000124721	0	hdhc9	Dynein axonemal heavy chain 8
TREM1	ENSG00000124731	0	CD354, TREM-1	Triggering receptor expressed on myeloid cells 1
MEA1	ENSG00000124733	0	MEA	Male-enhanced antigen 1
KLHL31	ENSG00000124743	0	bA345L23.2, BKLHD6, KBTBD1	Kelch like family member 31
COL21A1	ENSG00000124749	0		Collagen type XXI alpha 1 chain
CDKN1A	ENSG00000124762	0	CAP20, CDKN1, CIP1, P21, p21CIP1, p21Cip1/Waf1, SDI1, WAF1	Cyclin dependent kinase inhibitor 1A
SOX4	ENSG00000124766	1		SRY-box transcription factor 4
GLO1	ENSG00000124767	0	GLOD1	Glyoxalase I
CPNE5	ENSG00000124772	0	COPN5, CPN5, KIAA1599	Copine 5
KCNK17	ENSG00000124780	0	K2p17.1, TALK-2, TALK2, TASK-4, TASK4	Potassium two pore domain channel subfamily K member 17
RREB1	ENSG00000124782	1	HNT	Ras responsive element binding protein 1
SSR1	ENSG00000124783	0	TRAPA	Signal sequence receptor subunit 1
RIOK1	ENSG00000124784	0	AD034, bA288G3.1, FLJ30006, RRP10	RIO kinase 1
NRN1	ENSG00000124785	0	NRN	Neuritin 1
SLC35B3	ENSG00000124786	0	C6orf196, CGI-19, dJ453H5.1, PAPST2	Solute carrier family 35 member B3
RPP40	ENSG00000124787	0	bA428J1.3, RNASEP1	Ribonuclease P/MRP subunit p40
ATXN1	ENSG00000124788	0	ATX1, D6S504E, SCA1	Ataxin 1
NUP153	ENSG00000124789	0	HNUP153	Nucleoporin 153
DEK	ENSG00000124795	0	D6S231E	DEK proto-oncogene
EEF1E1	ENSG00000124802	0	AIMP3, P18	Eukaryotic translation elongation factor 1 epsilon 1
CRISP1	ENSG00000124812	0	AEGL1, ARP, CRISP-1, HSCRISP1D, HSCRISP1G, HUMARP	Cysteine rich secretory protein 1
RUNX2	ENSG00000124813	1	AML3, CBFA1, CCD, CCD1, PEBP2A1, PEBP2aA1	RUNX family transcription factor 2
OPN5	ENSG00000124818	0	dJ402H5.1, neuropsin, TMEM13	Opsin 5
GCM2	ENSG00000124827	1	GCMB, hGCMb	Glial cells missing transcription factor 2
LRRFIP1	ENSG00000124831	1	FLAP-1, FLIIAP1, GCF-2, HUFI-1, TRIP	LRR binding FLII interacting protein 1
RAB17	ENSG00000124839	0		RAB17, member RAS oncogene family
CXCL6	ENSG00000124875	0	CKA-3, GCP-2, SCYB6	C-X-C motif chemokine ligand 6
EREG	ENSG00000124882	0	ER	Epiregulin
TRIM51	ENSG00000124900	0	SPRYD5, TRIM51A	Tripartite motif-containing 51
MYRF	ENSG00000124920	1	C11orf9, MRF, Ndt80, pqn-47	Myelin regulatory factor
SCGB1D2	ENSG00000124935	0	LIPB, LPHB	Secretoglobin family 1D member 2
SCGB2A1	ENSG00000124939	0	LPHC, MGB2, MGC71973, UGB3	Secretoglobin family 2A member 1
AHNAK	ENSG00000124942	0	MGC5395	AHNAK nucleoprotein
EMC3	ENSG00000125037	0	TMEM111	ER membrane protein complex subunit 3
SSUH2	ENSG00000125046	0	C3orf32, fls485, ssu-2	Ssu-2 homolog
WNT1	ENSG00000125084	0	INT1	Wnt family member 1
SH3TC1	ENSG00000125089	0	FLJ20356	SH3 domain and tetratricopeptide repeats 1
CNOT1	ENSG00000125107	0	AD-005, CDC39, KIAA1007, NOT1, NOT1H	CCR4-NOT transcription complex subunit 1
BBS2	ENSG00000125124	0	BBS	Bardet-Biedl syndrome 2
MT1G	ENSG00000125144	0	MT1, MT1K	Metallothionein 1G
MT2A	ENSG00000125148	0	MT2	Metallothionein 2A
C16orf70	ENSG00000125149	0	C16orf6, FLJ12076, lin-10, LIN10	Chromosome 16 open reading frame 70
GOT2	ENSG00000125166	0	KAT4, KATIV, KYAT4, mitAAT	Glutamic-oxaloacetic transaminase 2
DOK4	ENSG00000125170	0	FLJ10488	Docking protein 4
PIWIL1	ENSG00000125207	0	CT80.1, HIWI, PIWI	Piwi like RNA-mediated gene silencing 1
GPR18	ENSG00000125245	0		G protein-coupled receptor 18
CLYBL	ENSG00000125246	0	CLB	Citramalyl-CoA lyase
TMTC4	ENSG00000125247	0	FLJ14624, FLJ22153	Transmembrane O-mannosyltransferase targeting cadherins 4
RAP2A	ENSG00000125249	0	K-REV, RAP2	RAP2A, member of RAS oncogene family
SLC10A2	ENSG00000125255	0	ASBT, ISBT	Solute carrier family 10 member 2
ABCC4	ENSG00000125257	0	EST170205, MOAT-B, MOATB, MRP4	ATP binding cassette subfamily C member 4
EFNB2	ENSG00000125266	0	EPLG5, Htk-L, HTKL, LERK5, MGC126226, MGC126227, MGC126228	Ephrin B2
SOX21	ENSG00000125285	1	SOX25	SRY-box transcription factor 21
TM9SF2	ENSG00000125304	0	P76	Transmembrane 9 superfamily member 2
HROB	ENSG00000125319	0	C17orf53, MCM8IP, MGC3130	Homologous recombination factor with OB-fold
KIF25	ENSG00000125337	0	KNSL3	Kinesin family member 25
IRF1	ENSG00000125347	1	MAR	Interferon regulatory factor 1
UPF3B	ENSG00000125351	0	HUPF3B, MRX62, MRX82, RENT3B, UPF3BP1, UPF3BP2, UPF3BP3, UPF3X	UPF3B regulator of nonsense mediated mRNA decay
RNF113A	ENSG00000125352	0	Cwc24, RNF113, ZNF183	Ring finger protein 113A
SEPTIN6	ENSG00000125354	0	KIAA0128, MGC16619, MGC20339, SEP2, SEPT2, SEPT6	Septin 6
TMEM255A	ENSG00000125355	0	FAM70A, FLJ20716	Transmembrane protein 255A
NDUFA1	ENSG00000125356	0	CI-MWFE, MWFE	NADH:ubiquinone oxidoreductase subunit A1
AMELX	ENSG00000125363	0	AIH1, AMG	Amelogenin X-linked
DMAC2L	ENSG00000125375	0	ATP5S, ATPW, HSU79253	Distal membrane arm assembly complex 2 like
BMP4	ENSG00000125378	0	BMP2B	Bone morphogenetic protein 4
PTGER2	ENSG00000125384	0	EP2	Prostaglandin E receptor 2
FAM193A	ENSG00000125386	0	C4orf8, RES4-22	Family with sequence similarity 193 member A
GRK4	ENSG00000125388	0	GPRK2L, GPRK4	G protein-coupled receptor kinase 4
SOX9	ENSG00000125398	1	CMD1, CMPD1, SRA1	SRY-box transcription factor 9
TEKT3	ENSG00000125409	0	FLJ32828	Tektin 3
MYH2	ENSG00000125414	0	IBM3, MYH2A, MYHas8, MyHC-2A, MyHC-IIa, MYHSA2	Myosin heavy chain 2
HS3ST3B1	ENSG00000125430	0	30ST3B1, 3OST3B1	Heparan sulfate-glucosamine 3-sulfotransferase 3B1
SLC25A35	ENSG00000125434	0	FLJ40217	Solute carrier family 25 member 35
MRPS7	ENSG00000125445	0	MRP-S, RP-S7, RPMS7	Mitochondrial ribosomal protein S7
GGA3	ENSG00000125447	0	KIAA0154	Golgi associated, gamma adaptin ear containing, ARF binding protein 3
ARMC7	ENSG00000125449	0	FLJ22160	Armadillo repeat containing 7
NUP85	ENSG00000125450	0	FLJ12549, NUP75	Nucleoporin 85
SLC25A19	ENSG00000125454	0	DNC, MCPHA, MUP1, TPC	Solute carrier family 25 member 19
MIF4GD	ENSG00000125457	0	AD023, MGC45027, MIFD, SLIP1	MIF4G domain containing
NT5C	ENSG00000125458	0	cdN, DNT-1, DNT1, PN-I, UMPH2	5', 3'-nucleotidase, cytosolic
MSTO1	ENSG00000125459	0	FLJ10504, LST005, misato, MST	Misato mitochondrial distribution and morphology regulator 1
TTF1	ENSG00000125482	0		Transcription termination factor 1
GTF3C4	ENSG00000125484	0	KAT12, TFIIIC90	General transcription factor IIIC subunit 4
DDX31	ENSG00000125485	0	FLJ13633, FLJ14578, FLJ23349, PPP1R25	DEAD-box helicase 31
BARHL1	ENSG00000125492	1		BarH like homeobox 1
KIR2DL1	ENSG00000125498	0	47.11, CD158A, cl-42, nkat1, p58.1	Killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1
PPP1R12C	ENSG00000125503	0	AAVS1, DKFZP434D0412, LENG3, MBS85, p84, p85	Protein phosphatase 1 regulatory subunit 12C
MBOAT7	ENSG00000125505	0	BB1, hMBOA-7, LENG4, LPLAT	Membrane bound O-acyltransferase domain containing 7
SRMS	ENSG00000125508	0	C20orf148, dJ697K14.1, PTK70, SRM	Src-related kinase lacking C-terminal regulatory tyrosine and N-terminal myristylation sites
OPRL1	ENSG00000125510	0	KOR-3, NOCIR, NOPr, OOR, ORL1	Opioid related nociceptin receptor 1
SLC2A4RG	ENSG00000125520	0	GEF, HDBP1, Si-1-2, Si-1-2-19	SLC2A4 regulator
NPBWR2	ENSG00000125522	0	GPR8	Neuropeptides B and W receptor 2
FNDC11	ENSG00000125531	0	C20orf195, MGC5356	Fibronectin type III domain containing 11
BHLHE23	ENSG00000125533	1	bA305P22.3, Beta4, BHLHB4	Basic helix-loop-helix family member e23
PPDPF	ENSG00000125534	0	C20orf149, dJ697K14.9, exdpf	Pancreatic progenitor cell differentiation and proliferation factor
IL1B	ENSG00000125538	0	IL-1B, IL1-BETA, IL1F2	Interleukin 1 beta
PLGLB2	ENSG00000125551	0	PLGP1	Plasminogen like B2
IL37	ENSG00000125571	0	FIL1, FIL1(ZETA), FIL1Z, IL-1F7, IL-1H4, IL-1RP1, IL1F7	Interleukin 37
CHCHD5	ENSG00000125611	0	C2orf9, MGC11104, MIC14, MIX14	Coiled-coil-helix-coiled-coil-helix domain containing 5
PAX8	ENSG00000125618	1		Paired box 8
